tipo_registro,id,categoria_o_escalon,titulo_o_pregunta,respuesta_o_instruccion,fuente_datos,recursos_sugeridos,requiere_datos_personales,tipo_respuesta,ambito,tipo_caso,riesgo_vital,contacto_oficial,horario,cobertura,que_no_debe_prometer,fuente_url,fecha_verificacion,nivel_confianza,notas
pregunta,P019,2. Prerrequisitos y dependencias,¿Qué ramo me bloquea más la malla si lo repruebo?,Identificación del ramo crítico por número de dependencias.,Malla curricular,,No,Calculo determinista,,,,,,,,,,,
pregunta,P020,2. Prerrequisitos y dependencias,¿Qué ramos son cuello de botella en mi carrera?,Ramos con más dependencias posteriores.,Malla curricular,,No,Calculo determinista,,,,,,,,,,,
pregunta,P021,2. Prerrequisitos y dependencias,¿Cuál es la cadena de prerrequisitos más larga de mi carrera?,Ruta crítica de dependencias de la malla.,Malla curricular,,No,Calculo determinista,,,,,,,,,,,
pregunta,P022,2. Prerrequisitos y dependencias,¿Tengo desbloqueado [X] con lo que ya aprobé?,Verificación de si se cumplen los prerrequisitos de [X].,Malla + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P023,3. Impacto de reprobar y escenarios,"Si repruebo este ramo, ¿me atraso un semestre o un año?","Impacto en la malla, prerrequisitos afectados y rutas alternativas.",Malla + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P024,3. Impacto de reprobar y escenarios,¿Qué ramos me conviene tomar el próximo semestre para no atrasarme?,"Recomendación según prerrequisitos, carga y avance (con regla explícita).",Malla + Registro del alumno,,Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P025,3. Impacto de reprobar y escenarios,¿Puedo adelantar ramos si tengo carga académica incompleta?,Condiciones y restricciones; a quién consultar para autorizar.,Reglamento + Malla + Coordinación,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P026,3. Impacto de reprobar y escenarios,¿Puedo egresar antes si tomo verano?,Posibilidades según oferta de verano y malla.,Malla + Oferta verano + Calendario,,Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P027,3. Impacto de reprobar y escenarios,"Si repruebo [X] e [Y], ¿qué asignaturas se me arrastran al próximo año?",Efecto encadenado sobre prerrequisitos futuros.,Malla + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P028,3. Impacto de reprobar y escenarios,¿Cuál es la carga ideal para recuperar el atraso sin sobrecargarme?,Escenario de recuperación bajo tope de créditos (regla explícita).,Malla + Registro + Reglamento de carga,,Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P029,4. Inscripción y toma de ramos,¿Cuándo empieza el período de inscripción de asignaturas?,Fechas del proceso de inscripción.,Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P030,4. Inscripción y toma de ramos,¿Cómo inscribo mis ramos en el sistema?,Procedimiento paso a paso de inscripción.,Instructivo de inscripción,,No,Dato directo,,,,,,,,,,,
pregunta,P031,4. Inscripción y toma de ramos,¿Cuál es la carga máxima y mínima de créditos por semestre?,Topes de créditos según reglamento.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P032,4. Inscripción y toma de ramos,¿Puedo inscribir un ramo con tope de horario?,Regla sobre topes y quién autoriza excepciones.,Reglamento + Coordinación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P033,4. Inscripción y toma de ramos,¿Cómo elimino o modifico un ramo ya inscrito?,Procedimiento y plazos de modificación.,Instructivo + Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P034,4. Inscripción y toma de ramos,¿Hasta cuándo puedo hacer cambios en mi inscripción?,Fecha límite de modificación de carga.,Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P035,4. Inscripción y toma de ramos,¿Qué hago si el ramo que necesito no tiene cupos?,Procedimiento de lista de espera / solicitud de cupo.,Instructivo + Secretaría,,No,Derivar a humano,,,,,,,,,,,
pregunta,P036,4. Inscripción y toma de ramos,"¿Puedo inscribir un ramo de otra sección, jornada o sede?",Condiciones para inscribir fuera de la sección asignada.,Reglamento + Secretaría,,No,Derivar a humano,,,,,,,,,,,
pregunta,P037,4. Inscripción y toma de ramos,¿Cómo tomo un ramo por segunda vez (repetición)?,Procedimiento para reinscribir un ramo reprobado.,Instructivo de inscripción,,No,Dato directo,,,,,,,,,,,
pregunta,P038,"5. Notas, evaluación y aprobación",¿Con qué nota se aprueba una asignatura?,Nota mínima de aprobación.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P039,"5. Notas, evaluación y aprobación",¿Cómo se calcula la nota de presentación a examen?,Regla de cálculo de la presentación.,Reglamento + Programa de asignatura,,No,Dato directo,,,,,,,,,,,
pregunta,P040,"5. Notas, evaluación y aprobación",¿Cuál es la ponderación de las evaluaciones de [X]?,Ponderaciones definidas en el programa del ramo.,Programa de la asignatura,,No,Dato directo,,,,,,,,,,,
pregunta,P041,"5. Notas, evaluación y aprobación",¿Con qué promedio quedo eximido del examen?,Condición de eximición si existe.,Reglamento + Programa de asignatura,,No,Dato directo,,,,,,,,,,,
pregunta,P042,"5. Notas, evaluación y aprobación",¿Cuál es mi promedio ponderado acumulado?,Cálculo del PPA a la fecha.,Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P043,"5. Notas, evaluación y aprobación",¿Cómo se calcula el promedio de titulación?,Fórmula del promedio final de titulación.,Reglamento de titulación,,No,Dato directo,,,,,,,,,,,
pregunta,P044,"5. Notas, evaluación y aprobación",¿Qué pasa si repruebo el examen pero tenía buena presentación?,Regla de nota final y reprobación por examen.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P045,"5. Notas, evaluación y aprobación",¿Puedo pedir recorrección de una evaluación?,Procedimiento y plazo de recorrección.,Reglamento + Docente,"R16,R17",No,Derivar a humano,,,,,,,,,,,
pregunta,P046,"5. Notas, evaluación y aprobación",¿Cómo justifico la inasistencia a una evaluación?,Procedimiento y documentación para justificar.,Reglamento académico + Secretaría,,No,Derivar a humano,,,,,,,,,,,
pregunta,P047,6. Reglamento y situación académica,¿Cuántas veces puedo reprobar un mismo ramo?,Límite de reprobaciones antes de sanción.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P048,6. Reglamento y situación académica,¿Qué es la causal de eliminación académica y cuándo aplica?,Definición y condiciones de la causal.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P049,6. Reglamento y situación académica,¿Qué pasa si repruebo el mismo ramo por tercera vez?,Consecuencia reglamentaria; derivar caso particular.,Reglamento + Coordinación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P050,6. Reglamento y situación académica,¿Estoy en situación de alerta o riesgo académico?,Estado del alumno según reglas de alerta.,Registro del alumno + Reglamento,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P051,6. Reglamento y situación académica,¿Cuál es el porcentaje de asistencia mínima exigido?,Requisito de asistencia según normativa.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P052,6. Reglamento y situación académica,¿Cómo apelo una eliminación académica y cuáles son mis derechos?,Procedimiento de apelación; derivar a instancia oficial.,Reglamento + Secretaría Académica,,No,Derivar a humano,,,,,,,,,,,
pregunta,P053,6. Reglamento y situación académica,¿Qué es un plan de recuperación o continuidad y a quién aplica?,Definición y condiciones del plan.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P054,7. Prácticas profesionales,¿Qué requisitos debo cumplir para hacer la práctica profesional?,Requisitos de avance/créditos para la práctica.,Reglamento de prácticas + Malla,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P055,7. Prácticas profesionales,¿Cuántas horas dura la práctica de mi carrera?,Duración exigida.,Reglamento de prácticas,,No,Dato directo,,,,,,,,,,,
pregunta,P056,7. Prácticas profesionales,¿Cuándo puedo empezar mi práctica según mi avance?,Momento habilitado según créditos aprobados.,Reglamento de prácticas + Registro,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P057,7. Prácticas profesionales,¿Cómo consigo y valido un centro de práctica?,Procedimiento de validación del centro.,Reglamento + Coordinación de prácticas,,No,Derivar a humano,,,,,,,,,,,
pregunta,P058,7. Prácticas profesionales,¿Qué documentos necesito para iniciar la práctica?,Checklist de documentación.,Reglamento de prácticas,,No,Dato directo,,,,,,,,,,,
pregunta,P059,7. Prácticas profesionales,¿La práctica tiene créditos y aparece en mi malla?,Créditos y ubicación de la práctica en la malla.,Malla curricular,,No,Dato directo,,,,,,,,,,,
pregunta,P060,7. Prácticas profesionales,¿A quién entrego el informe de práctica?,Responsable y canal de entrega.,Coordinación de prácticas,,No,Derivar a humano,,,,,,,,,,,
pregunta,P061,8. Titulación y egreso,¿Cuáles son los requisitos para titularme?,Requisitos de titulación de la carrera.,Reglamento de titulación,,No,Dato directo,,,,,,,,,,,
pregunta,P062,8. Titulación y egreso,¿Qué modalidades de titulación ofrece mi carrera?,Modalidades disponibles.,Reglamento de titulación,,No,Dato directo,,,,,,,,,,,
pregunta,P063,8. Titulación y egreso,¿Cuál es la diferencia entre egresar y titularse?,Distinción entre ambos estados.,Reglamento de titulación,,No,Dato directo,,,,,,,,,,,
pregunta,P064,8. Titulación y egreso,¿Necesito rendir un examen de inglés para egresar?,Requisito de idioma si aplica.,Reglamento + Requisito de idioma,,No,Dato directo,,,,,,,,,,,
pregunta,P065,8. Titulación y egreso,¿Necesito la práctica aprobada para dar el examen de título?,Relación entre práctica y examen de título.,Reglamento de titulación,,No,Dato directo,,,,,,,,,,,
pregunta,P066,8. Titulación y egreso,¿Cuánto demora el trámite de obtención del título?,Plazos estimados del trámite.,Secretaría Académica,,No,Derivar a humano,,,,,,,,,,,
pregunta,P067,8. Titulación y egreso,¿Qué pasa si egreso pero no me titulo dentro del plazo?,Consecuencias y opciones de reactivación.,Reglamento de titulación,,No,Dato directo,,,,,,,,,,,
pregunta,P068,8. Titulación y egreso,¿Ya cumplo los requisitos para egresar?,Verificación de requisitos de egreso del alumno.,Registro del alumno + Reglamento,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P069,"9. Aranceles, becas y financiamiento",¿Cuánto es el arancel de mi carrera este año?,Valor de arancel vigente.,Tabla de aranceles,,No,Dato directo,,,,,,,,,,,
pregunta,P070,"9. Aranceles, becas y financiamiento","Tengo gratuidad, ¿qué pasa si me atraso en la carrera?",Efecto del atraso sobre la gratuidad.,Normativa de gratuidad,,No,Dato directo,,,,,,,,,,,
pregunta,P071,"9. Aranceles, becas y financiamiento",¿Qué pasa con mi beca si repruebo ramos?,Condiciones de mantención de la beca.,Reglamento de becas,,No,Dato directo,,,,,,,,,,,
pregunta,P072,"9. Aranceles, becas y financiamiento",¿Cómo pago la matrícula y en qué plazos?,Medios y calendario de pago.,Instructivo de pagos + Calendario,,No,Dato directo,,,,,,,,,,,
pregunta,P073,"9. Aranceles, becas y financiamiento",¿Puedo repactar una deuda de arancel?,Procedimiento de repactación; derivar a finanzas.,Finanzas estudiantiles,,No,Derivar a humano,,,,,,,,,,,
pregunta,P074,"9. Aranceles, becas y financiamiento",¿La gratuidad o beca cubre los ramos que tomo por segunda vez?,Cobertura sobre asignaturas repetidas.,Normativa de gratuidad/becas,,No,Dato directo,,,,,,,,,,,
pregunta,P075,"9. Aranceles, becas y financiamiento",¿Qué pasa con mi financiamiento si suspendo el semestre?,Efecto de la suspensión sobre beneficios.,Normativa de beneficios + Finanzas,,No,Derivar a humano,,,,,,,,,,,
pregunta,P076,10. Trámites y certificados,¿Cómo pido un certificado de alumno regular?,Procedimiento y canal de solicitud.,Instructivo de certificados,,No,Dato directo,,,,,,,,,,,
pregunta,P077,10. Trámites y certificados,¿Dónde descargo mi concentración de notas?,Ubicación y forma de obtención.,Sistema académico,,No,Dato directo,,,,,,,,,,,
pregunta,P078,10. Trámites y certificados,¿Cómo renuevo o solicito la TNE?,Procedimiento de gestión de la TNE.,Instructivo TNE / Bienestar,,No,Dato directo,,,,,,,,,,,
pregunta,P079,10. Trámites y certificados,¿Cómo obtengo un certificado de ranking o de avance?,Procedimiento de solicitud.,Instructivo de certificados,,No,Dato directo,,,,,,,,,,,
pregunta,P080,10. Trámites y certificados,¿Los certificados tienen costo y cuánto demoran?,Costos y plazos de emisión.,Instructivo de certificados,,No,Dato directo,,,,,,,,,,,
pregunta,P081,10. Trámites y certificados,¿Cómo actualizo mis datos personales en el sistema?,Procedimiento de actualización de datos.,Instructivo del sistema académico,,No,Dato directo,,,,,,,,,,,
pregunta,P082,"11. Suspensión, retiro y reincorporación",¿Cómo suspendo o congelo el semestre?,Procedimiento y plazos de suspensión.,Reglamento + Secretaría,,No,Derivar a humano,,,,,,,,,,,
pregunta,P083,"11. Suspensión, retiro y reincorporación",¿Hasta cuándo puedo retirar un ramo sin que quede reprobado?,Fecha límite de retiro de asignatura.,Calendario + Reglamento,,No,Dato directo,,,,,,,,,,,
pregunta,P084,"11. Suspensión, retiro y reincorporación",¿Cuántos semestres puedo estar suspendido?,Límite máximo de suspensión.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P085,"11. Suspensión, retiro y reincorporación",¿Cómo me reincorporo después de una suspensión?,Procedimiento de reincorporación.,Reglamento + Secretaría,,No,Derivar a humano,,,,,,,,,,,
pregunta,P086,"11. Suspensión, retiro y reincorporación",¿Qué pasa con mi malla si estuve un año fuera?,Efecto de la ausencia sobre malla vigente.,Reglamento + Coordinación,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P087,"11. Suspensión, retiro y reincorporación",¿El retiro o la suspensión afecta mi gratuidad o beca?,Impacto sobre beneficios.,Normativa de beneficios,,No,Derivar a humano,,,,,,,,,,,
pregunta,P088,"12. Convalidación, traslado y cambio de carrera",¿Cómo convalido ramos de otra universidad o carrera?,Procedimiento y criterios de convalidación.,Reglamento de convalidación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P089,"12. Convalidación, traslado y cambio de carrera",¿Qué requisitos hay para cambiarme de carrera dentro de la U?,Requisitos del cambio interno.,Reglamento de cambio de carrera,,No,Dato directo,,,,,,,,,,,
pregunta,P090,"12. Convalidación, traslado y cambio de carrera",¿Se me convalidan ramos si me cambio de sede?,Criterios de equivalencia entre sedes.,Reglamento + Secretaría,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P091,"12. Convalidación, traslado y cambio de carrera",¿Qué pasa con mi avance si me cambio de carrera?,Efecto del cambio sobre créditos y avance.,Tabla de equivalencias + Registro,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P092,13. Movilidad e intercambio,¿Qué requisitos necesito para postular a intercambio?,Requisitos de postulación.,Reglamento de movilidad,,No,Dato directo,,,,,,,,,,,
pregunta,P093,13. Movilidad e intercambio,¿Los ramos del intercambio cuentan en mi malla?,Reconocimiento académico de la movilidad.,Reglamento de movilidad,,No,Dato directo,,,,,,,,,,,
pregunta,P094,13. Movilidad e intercambio,¿Qué promedio mínimo piden para movilidad estudiantil?,Requisito de promedio.,Reglamento de movilidad,,No,Dato directo,,,,,,,,,,,
pregunta,P095,13. Movilidad e intercambio,¿Cómo afecta un semestre de intercambio a mi avance?,Efecto de la movilidad sobre el avance.,Reglamento + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P096,"14. Horarios, docentes y logística",¿A qué hora y en qué sala se dicta [X]?,Horario y sala de la asignatura.,Horarios del semestre,,No,Dato directo,,,,,,,,,,,
pregunta,P097,"14. Horarios, docentes y logística",¿Quién dicta la asignatura [X] este semestre?,Docente asignado.,Horarios del semestre,,No,Dato directo,,,,,,,,,,,
pregunta,P098,"14. Horarios, docentes y logística",¿Qué secciones hay disponibles de [X]?,Secciones y jornadas ofertadas.,Oferta del semestre,,No,Dato directo,,,,,,,,,,,
pregunta,P099,"14. Horarios, docentes y logística",¿Dónde veo mi horario del semestre?,Ubicación del horario personal.,Sistema académico,,Si,Dato directo,,,,,,,,,,,
pregunta,P100,"14. Horarios, docentes y logística",¿Cómo contacto a un profesor?,Canal de contacto docente.,Directorio / Coordinación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P101,15. Servicios estudiantiles y apoyo,¿Dónde pido apoyo psicológico o de bienestar estudiantil?,Canal y procedimiento de apoyo.,Bienestar / DAE,,No,Derivar a humano,,,,,,,,,,,
pregunta,P102,15. Servicios estudiantiles y apoyo,¿Qué gestiona la Dirección de Asuntos Estudiantiles (DAE)?,Ámbito de gestión de la DAE.,Información institucional DAE,,No,Dato directo,,,,,,,,,,,
pregunta,P103,15. Servicios estudiantiles y apoyo,¿Hay tutorías o reforzamiento para ramos difíciles?,Oferta de tutorías disponibles.,Programa de apoyo académico,,No,Dato directo,,,,,,,,,,,
pregunta,P104,15. Servicios estudiantiles y apoyo,¿Cómo accedo a la biblioteca y a las bases de datos?,Acceso a recursos de biblioteca.,Información de biblioteca,,No,Dato directo,,,,,,,,,,,
pregunta,P105,15. Servicios estudiantiles y apoyo,¿A quién acudo si tengo un problema con un profesor?,Instancia adecuada para el conflicto.,Coordinación / Dirección de carrera,,No,Derivar a humano,,,,,,,,,,,
pregunta,P106,15. Servicios estudiantiles y apoyo,¿Hay apoyo para estudiantes con necesidades educativas especiales?,Programa de inclusión y su acceso.,Información de inclusión,,No,Derivar a humano,,,,,,,,,,,
pregunta,P107,16. Calendario académico,¿Cuándo parten y terminan las clases este semestre?,Fechas de inicio y término.,Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P108,16. Calendario académico,¿Cuándo son las semanas de evaluaciones o exámenes?,Períodos de evaluación.,Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P109,16. Calendario académico,¿Qué días son feriados o receso académico?,Días sin actividad académica.,Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P110,16. Calendario académico,¿Cuándo se publican las notas finales?,Fecha de cierre y publicación de notas.,Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P111,16. Calendario académico,¿Cuándo abre la inscripción de ramos de verano?,Fechas del proceso de verano.,Calendario académico,,No,Dato directo,,,,,,,,,,,
pregunta,P112,17. Meta y límites del bot,¿Esta información es oficial o solo referencial?,El bot declara el carácter referencial y remite a la fuente oficial.,Política del sistema,,No,Dato directo,,,,,,,,,,,
pregunta,P113,17. Meta y límites del bot,¿Con qué fecha están actualizados estos datos?,Fecha de la última actualización del corpus.,Metadato del corpus,,No,Dato directo,,,,,,,,,,,
pregunta,P114,17. Meta y límites del bot,¿Puedo usar tu respuesta como comprobante oficial?,El bot aclara que no reemplaza documentos oficiales.,Política del sistema,,No,Dato directo,,,,,,,,,,,
pregunta,P115,17. Meta y límites del bot,¿A quién consulto si no sabes la respuesta?,Derivación a la instancia humana correspondiente.,Directorio de contacto,,No,Derivar a humano,,,,,,,,,,,
pregunta,P116,17. Meta y límites del bot,¿Quién decide finalmente si puedo tomar un ramo con tope o excepción?,"El bot indica que la decisión es de la coordinación, no suya.",Política del sistema + Coordinación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P117,17. Meta y límites del bot,"No encontré lo que buscaba, ¿qué hago?",Fallback: reformular o derivar a soporte humano.,Política del sistema,,No,Derivar a humano,,,,,,,,,,,
pregunta,P118,18. Bienestar emocional y salud mental académica,"Me siento muy mal por un ramo, ¿qué puedo hacer?","Contención inicial, identificar urgencia, sugerir hablar con docente/coordinación y derivar a Bienestar/DAE si hay afectación emocional.",Bienestar / DAE + Reglamento académico + Coordinación,"R03,R09",Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P119,18. Bienestar emocional y salud mental académica,"Estoy colapsado con la universidad y no sé si seguir, ¿con quién hablo?",Orientar a apoyo psicológico/orientación estudiantil y sugerir revisar alternativas académicas sin tomar decisiones impulsivas.,Bienestar / DAE + Coordinación de carrera,"R03,R09",Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P120,18. Bienestar emocional y salud mental académica,"Me está dando ansiedad por una prueba, ¿la universidad tiene apoyo?","Indicar canales de apoyo psicológico, tutorías y recomendaciones inmediatas de organización académica.",Bienestar / DAE + Programa de apoyo académico,"R03,R09",No,Contencion y derivacion,,,,,,,,,,,
pregunta,P121,18. Bienestar emocional y salud mental académica,"No he podido estudiar por problemas personales, ¿puedo pedir ayuda?","Explicar opciones de apoyo, justificación si corresponde y derivación a bienestar/coordinación.",Bienestar / DAE + Reglamento académico,"R03,R09",Si,Derivar a humano,,,,,,,,,,,
pregunta,P122,18. Bienestar emocional y salud mental académica,"Estoy pasando por un mal momento y voy mal en varios ramos, ¿qué hago primero?","Priorizar contención, diagnóstico académico básico, ramos críticos y contacto con apoyo institucional.",Registro del alumno + Bienestar + Coordinación,"R03,R09",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P123,18. Bienestar emocional y salud mental académica,"Siento que no doy más con la carga académica, ¿boto un ramo o sigo?","Comparar escenarios: retirar, bajar carga, pedir apoyo, revisar plazos y efectos académicos/financieros.",Calendario + Reglamento + Registro del alumno,"R03,R09",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P124,18. Bienestar emocional y salud mental académica,"Me fue mal y me siento frustrado, ¿puedo recuperar el semestre?","Responder con plan de recuperación, cálculo de notas restantes y derivación si hay malestar persistente.",Registro de notas + Programa de asignatura + Bienestar,"R03,R09",Si,Calculo determinista,,,,,,,,,,,
pregunta,P125,18. Bienestar emocional y salud mental académica,"Tengo miedo de hablar con el profesor porque voy mal, ¿cómo lo hago?","Sugerir mensaje formal, pedir retroalimentación y proponer reunión breve con foco en acciones concretas.",Buenas prácticas de comunicación + Docente,"R03,R09",No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P126,18. Bienestar emocional y salud mental académica,"Estoy desmotivado y siento que elegí mal la carrera, ¿me pueden orientar?","Derivar a orientación vocacional/DAE y sugerir revisar rendimiento, intereses y carga antes de decidir.",Bienestar / DAE + Orientación académica,"R03,R09",Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P127,18. Bienestar emocional y salud mental académica,"La universidad me tiene sobrepasado, ¿hay alguien que me pueda escuchar?","Entregar canales de bienestar estudiantil y recomendar pedir apoyo temprano; si hay urgencia, indicar canal crítico.",Bienestar / DAE + Recursos verificados (hoja Recursos_verificados),"R03,R09",No,Contencion y derivacion,,,,,,,,,,,
pregunta,P128,18. Bienestar emocional y salud mental académica,"No puedo dormir por las evaluaciones, ¿esto se puede informar?",Orientar a apoyo psicológico y explicar si procede informar a coordinación/docente cuando afecta evaluaciones.,Bienestar / DAE + Reglamento académico,"R03,R09",Si,Derivar a humano,,,,,,,,,,,
pregunta,P129,18. Bienestar emocional y salud mental académica,"Me siento muy angustiado antes del examen, ¿puedo pedir alguna alternativa?",Distinguir apoyo emocional de modificación académica; indicar que cualquier alternativa requiere documentación y autorización.,Reglamento + Bienestar + Coordinación,"R03,R09",Si,Derivar a humano,,,,,,,,,,,
pregunta,P130,19. Crisis académica y plan de recuperación,"Voy reprobando dos ramos, ¿cuál intento salvar primero?","Priorizar según nota necesaria, ponderaciones restantes, prerrequisitos y riesgo de atraso.",Notas + Programa de asignatura + Malla,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P131,19. Crisis académica y plan de recuperación,"Estoy mal en todo, ¿me puedes ordenar qué hacer esta semana?","Plan de acción semanal: revisar notas, fechas, ramos críticos, contactar docentes y buscar apoyo.",Registro académico + Calendario + Programas,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P132,19. Crisis académica y plan de recuperación,¿Todavía puedo salvar el ramo o ya no conviene seguir intentando?,Calcular escenarios de aprobación y comparar con retiro/segunda oportunidad según plazos.,Notas + Ponderaciones + Calendario académico,"R09,R14",Si,Calculo determinista,,,,,,,,,,,
